Sentiment,Text,Clean text
0, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,username tolol tidak hubung nya gugur dengan pakai hijab syar i yang kamu bilang bayi nya panas dalem tidak hubung nya woyyyy otak sama jempol kamu tidak sinkron sih jadi asal tulis komentar
0,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,geblek kamu tata cowo banget bela balik hadeww ntar tinggal lagi salah international telecommunication union cowo padahal kitenya yang oon
0,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kemarin mewek sekarang lengket lagi duhhh kok labil banget sih mbak kayak abege saja atau yang kemarin cari sensasi biar top markotoppp ertong tidak kualitas
0,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",inti kalau kesal att nya tidak usah anak juga kasihan buat kembang psikis anak depan orang benar benar tolol sekarang anda punya anak terus anak ejek sama orang benci sama dia bagaimana asa benci sama orang boleh harus tau batesnya nama manusia gaakan semua jadi suka ada hater
0,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadewwwww permpuan lg sakit jiwa knp daerah istimewa aceh yang jadi peran utama film hantu jeruk purut ky khabis stok artis saja
0,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantas saja tinggal laki laki pikir kali kalau perempuan kayagni urus diri saja tidak becus bagaimana urus anak mending anak sama ayah nya saja benar didik
0,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",biasa balajaer sampah daerah istimewa instagram artis suka yang punya instagram lah mau bikin caption apa kok balajaer yang heboh asyik ceramahin yang punya ig tar lama daerah istimewa buat lagu sama teh melly lah balajaer yang judul ketika balajaer sabda demi seonggak koin laknat nya balajaer amuk arti iya banget koin laknat nya jadi goda daerah istimewa rukun tetangga nya gigi duh alah balajaer semua tau kali laku biduan kamu kayak apa minus segala lagi daerah istimewa bela mati pd sakit jiwa
0,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,karena bagi besar rakyat indonesia bodoh tidak beda mana yang baik mana yang buruk sudah tau perilaku buruk tidak tau sopan santun yang pilih jadi panutan lebih idola yang murah dari pada yang kelas ber etika
0,ayu janda bego pny suami kpn nikah laginya?,ayu janda bego punya suami kapan nikah lagi
0,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anyiennnnggg suara hancur banget lebih merdu tukang goreng
0,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah agama islam ada cpp ada cpw saksi wali nikah mas kawin mahar perkara makeup tidak manglingi bukan syarat sah nikah sekalipun tidak makeup syarat yang sebut penuh nikah sah ya emak emak julids
0,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek tak tau diri nih rebut pacar org sudah mana punya abang yang dukung sifat jelek lg wkwk
0, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,username eh situ siapa kids jaman now banyak micin mana kata aku yang ngina bego pelihara
0,Jijik liatnya suer deh minceeee,jijik lihat sumpah deh mince
0,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",memang bukan tabu cium begitu iya emang yang bikin eneg citra nya yang sok alim sok baik sok bijak sok sok yang lai anda lebih austria press agentur ada lebih baik pada citra bukan sok alim sok suci serius
0,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",yang jadi masalah daerah istimewa sini cium depan orang banyak yang sih punya rasa malu mungkin lagi mabuk jadi tidak rasa malu teman helooow buah teman tidak libat cium bibir coba saja kalian bayangin sanggup tidak cium bibir sama teman lebih dari teman lah itu dasar laku kids jaman now yang memang bego bukan karena banyak micin liaison officer ya
0,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,anjing nya ngamuk hidup kok daerah istimewa mana punya musuh udh lihat mana yang baik bukan org baik tidak punya banyak musuh
0," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",username ah kata jaga ucap lah ucap tidak jaga sendiri dasar munafik dasar betina zaman now ellu kali yang lebih micin kamu sendiri otak kamu kan selangkang mana paham moga tuhan ampunin munafik kamu cun
0," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",username ya ampun upil naruto kata majelis agama khonghucu indonesia cermin kalau yang benar pecun alam banget kamu yaa kesi gue jadi prihatin mati saja deh lu kotor dunia manusia macam kau
0,"Cuman jual goyangan yak, suara macam taik...",cuma jual goyang yak suara macam taik
0,Kasian ih nyari uang sampe segitunya,kasihan ih cari uang sampai begitu
0,anjir tontonan yg sangat tidak bermutu!,anjir tonton yang sangat mutu
0,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",dulu inul goyang ngebor baju ketat dcekal harus nya nih juga dengan sgja goyang dada mulu suara tidak sbrpa mrsk moral anak muda yang nonton bawa nafsu saja
0,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,pnyanyi dangdut yang tidak kelas begini nih bukan y nonjolin suara malah nonjolin dada
0,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",najis najis sudah homo saja harus orang kayak begini musnah muka bumi
0,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",haduuh orang tidak punya akhlak bangeg asa kerja tengkar mulu banyak musuh
0,S lonte ini bkn sensasi ngjak ribut org mulu sampah,sistem informasi lonte bukan sensasi ngjak ribut orang mulu sampah
0,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,kayak banci sudah mirip nenek punya cucu medium wave operasi mua top tetap saja kalau asli nya tidak cantik luar dlm
0,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,lebih bagus kalau diam saja haha jahat aku
0,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,walaupun operasi plastik permak sekalipun tetap jelek pokok muka tegang kayak banci sudah sekian
