sentimen,Tweet
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p 
1,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu
1,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya
1,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla 
1,aah kamu aja mas aku lebih suka diayomi 
1,mau bantu aku nabung 
1,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya 
1,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha 
1,cara nak mintak maaf ada 3 1 aku minta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba 
1,yuk netweetjen dibantu
1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
1,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo 
1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
1,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat 
1,diremes di enyot ngedusel dusel di nenen kamu wah mantap
1,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e 
1,pilih salah satu yang paling kamu nyaman
1,aku sendiri jugaaa yuk barengan
1,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j 
1,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego 
1,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal 
1,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak
1,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm 
1,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku
1,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau 
1,aku nk walk in ajelah senang
1,jadilah seperti aku
1,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat 
1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
1,hahaa aku juga ga ngerti tadi tp asal jwb aja
1,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men 
1,aku terhibur hahahahahahahahahahahaha
1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber 
