Tweet,Sentimen
"@taesarahyun i selalu lost focus dalam kelas sejarah, fr tak kira offline online",0
@kiaapt2 Aaa kamu masih kelas 9? Wahh udh ujian blom? Semangat ujian nya ya🤗 Jgn smpe telat mkn!😠 Ayo skrg tdur jgn bgdg bsok ada daring kn? Good night and sweet dreams kiah !! 🥰💜,1
"pacaran kok daring🤭
itu pacaran apa kelas online",1
"Iya-Iya, dosen emang yang selalu bener. Mau sebobrok-bobroknya koordinasi antar dosen di kampus, tetep mahasiswa yang salah kan.. Bayaran 14jt per semester padahal kuliah online masih belom kenyang?",0
@agnesyunitas Salam Sehat bapak/Ibu. Pelayanan saat ini secara online melalui PANDAWA. PANDAWA adalah pelayanan administrasi melalui Whatsapp ke Kantor Cabang BPJS Kesehatan dimasing-masing wilayah. Pelayanan PANDAWA Surabaya di nomor 087739901120. Terima kasih. -da,1
"@febiola_lamongi @febiola_lamongi Sore sahabat. Perihal pencairan JHT, silakan registrasi antrean online Lapak Asik https://t.co/DsKDbEYdoD atau cabang bank kerja sama yaitu Bank Mandiri, BRI, BNI, BJB, atau BTN. -Ina",1
"@Privasiwanita1 Situs Judi Online Terbaik
Itupoker - Situs Judi Kartu Online Terbesar dan Terpercaya di Indonesia

* BONUS CASHBACK 0.3%
* BONUS REFERRAL 20% SEUMUR HIDUP
* LAYANAN CUSTOMER SERVICE 24 JAM
* PRESENTASE KEMENANGAN PALING TINGGI

Pusat Bantuan ituPoker
https://t.co/895JlukUyu",0
"ai! dari 5 era yuta di 2020, kalian lebih suka yuta kick it, yuta punch, yuta from home, yuta work it, atau yuta resonance? GABOLEH MARUK YAAA SATU AJA 😠😠",1
"@dagangkorea Ready :
mini kolbuk Work It ㅡ Future 60K
Polaroid : taeil, yuta, winwin, yangyang

Natrep X nct127 40K bersih ina avail 20 slot

Lenticular Fanmade (est.)
1 set (MAW/From Home/Work it/Misfit) 135 bersih ina
pair 2 member 39K
1 pcs 20K

ada go 
dom Jakarta barat",1
"Semakin lama WFH, aku semakin sadar ternyata aku lebih sering bergaul sama ibu2 komplek dibandingkan sama teman2 sebaya wkwk

Dari mulai belanja sayur, kue2 subuh, sampai kelas tahsin. Aku tak menyangka circle pertemananku telah berubah drastis haha😂",1
"Sedangkan untuk karyawan Freeport yang gak dirumahkan, tetapi mogok, dianggap perusahaan melakukan tindakan mangkir alias gak mau bekerja lagi.",0
"@dodioc enak banget wfh, aku hari ini harus dikantor 😭😭",0
"Selama ini wfh terus, dpt tmn baru jg kenalan online, mau sampai kapan:(",0
"@rainaldylomri @50k @Mend0an_ Bismillah kalo dpt GA 50k saya mau beliin makanan gopud buat keluarga saya,sisanya saya belikan alat tulis saya dan kuota utk kuliah daring ini. Bila ada sisa lg saya tabung. Terimakasih banyak🤲",1
